Specification,Keyword,RGB hex value
CSS Level 1,black,#000000
CSS Level 2 (Revision 1),silver,#c0c0c0
CSS Level 2 (Revision 1),gray,#808080
CSS Level 2 (Revision 1),white,#ffffff
CSS Level 2 (Revision 1),maroon,#800000
CSS Level 2 (Revision 1),red,#ff0000
CSS Level 2 (Revision 1),purple,#800080
CSS Level 2 (Revision 1),fuchsia,#ff00ff
CSS Level 2 (Revision 1),green,#008000
CSS Level 2 (Revision 1),lime,#00ff00
CSS Level 2 (Revision 1),olive,#808000
CSS Level 2 (Revision 1),yellow,#ffff00
CSS Level 2 (Revision 1),navy,#000080
CSS Level 2 (Revision 1),blue,#0000ff
CSS Level 2 (Revision 1),teal,#008080
CSS Level 2 (Revision 1),aqua,#00ffff
CSS Level 2 (Revision 1),orange,#ffa500
CSS Color Module Level 3,aliceblue,#f0f8ff
CSS Color Module Level 4,antiquewhite,#faebd7
CSS Color Module Level 4,aquamarine,#7fffd4
CSS Color Module Level 4,azure,#f0ffff
CSS Color Module Level 4,beige,#f5f5dc
CSS Color Module Level 4,bisque,#ffe4c4
CSS Color Module Level 4,blanchedalmond,#ffebcd
CSS Color Module Level 4,blueviolet,#8a2be2
CSS Color Module Level 4,brown,#a52a2a
CSS Color Module Level 4,burlywood,#deb887
CSS Color Module Level 4,cadetblue,#5f9ea0
CSS Color Module Level 4,chartreuse,#7fff00
CSS Color Module Level 4,chocolate,#d2691e
CSS Color Module Level 4,coral,#ff7f50
CSS Color Module Level 4,cornflowerblue,#6495ed
CSS Color Module Level 4,cornsilk,#fff8dc
CSS Color Module Level 4,crimson,#dc143c
CSS Color Module Level 4,"cyan
(synonym of aqua)",#00ffff
CSS Color Module Level 4,darkblue,#00008b
CSS Color Module Level 4,darkcyan,#008b8b
CSS Color Module Level 4,darkgoldenrod,#b8860b
CSS Color Module Level 4,darkgray,#a9a9a9
CSS Color Module Level 4,darkgreen,#006400
CSS Color Module Level 4,darkgrey,#a9a9a9
CSS Color Module Level 4,darkkhaki,#bdb76b
CSS Color Module Level 4,darkmagenta,#8b008b
CSS Color Module Level 4,darkolivegreen,#556b2f
CSS Color Module Level 4,darkorange,#ff8c00
CSS Color Module Level 4,darkorchid,#9932cc
CSS Color Module Level 4,darkred,#8b0000
CSS Color Module Level 4,darksalmon,#e9967a
CSS Color Module Level 4,darkseagreen,#8fbc8f
CSS Color Module Level 4,darkslateblue,#483d8b
CSS Color Module Level 4,darkslategray,#2f4f4f
CSS Color Module Level 4,darkslategrey,#2f4f4f
CSS Color Module Level 4,darkturquoise,#00ced1
CSS Color Module Level 4,darkviolet,#9400d3
CSS Color Module Level 4,deeppink,#ff1493
CSS Color Module Level 4,deepskyblue,#00bfff
CSS Color Module Level 4,dimgray,#696969
CSS Color Module Level 4,dimgrey,#696969
CSS Color Module Level 4,dodgerblue,#1e90ff
CSS Color Module Level 4,firebrick,#b22222
CSS Color Module Level 4,floralwhite,#fffaf0
CSS Color Module Level 4,forestgreen,#228b22
CSS Color Module Level 4,gainsboro,#dcdcdc
CSS Color Module Level 4,ghostwhite,#f8f8ff
CSS Color Module Level 4,gold,#ffd700
CSS Color Module Level 4,goldenrod,#daa520
CSS Color Module Level 4,greenyellow,#adff2f
CSS Color Module Level 4,grey,#808080
CSS Color Module Level 4,honeydew,#f0fff0
CSS Color Module Level 4,hotpink,#ff69b4
CSS Color Module Level 4,indianred,#cd5c5c
CSS Color Module Level 4,indigo,#4b0082
CSS Color Module Level 4,ivory,#fffff0
CSS Color Module Level 4,khaki,#f0e68c
CSS Color Module Level 4,lavender,#e6e6fa
CSS Color Module Level 4,lavenderblush,#fff0f5
CSS Color Module Level 4,lawngreen,#7cfc00
CSS Color Module Level 4,lemonchiffon,#fffacd
CSS Color Module Level 4,lightblue,#add8e6
CSS Color Module Level 4,lightcoral,#f08080
CSS Color Module Level 4,lightcyan,#e0ffff
CSS Color Module Level 4,lightgoldenrodyellow,#fafad2
CSS Color Module Level 4,lightgray,#d3d3d3
CSS Color Module Level 4,lightgreen,#90ee90
CSS Color Module Level 4,lightgrey,#d3d3d3
CSS Color Module Level 4,lightpink,#ffb6c1
CSS Color Module Level 4,lightsalmon,#ffa07a
CSS Color Module Level 4,lightseagreen,#20b2aa
CSS Color Module Level 4,lightskyblue,#87cefa
CSS Color Module Level 4,lightslategray,#778899
CSS Color Module Level 4,lightslategrey,#778899
CSS Color Module Level 4,lightsteelblue,#b0c4de
CSS Color Module Level 4,lightyellow,#ffffe0
CSS Color Module Level 4,limegreen,#32cd32
CSS Color Module Level 4,linen,#faf0e6
CSS Color Module Level 4,"magenta
(synonym of fuchsia)",#ff00ff
CSS Color Module Level 4,mediumaquamarine,#66cdaa
CSS Color Module Level 4,mediumblue,#0000cd
CSS Color Module Level 4,mediumorchid,#ba55d3
CSS Color Module Level 4,mediumpurple,#9370db
CSS Color Module Level 4,mediumseagreen,#3cb371
CSS Color Module Level 4,mediumslateblue,#7b68ee
CSS Color Module Level 4,mediumspringgreen,#00fa9a
CSS Color Module Level 4,mediumturquoise,#48d1cc
CSS Color Module Level 4,mediumvioletred,#c71585
CSS Color Module Level 4,midnightblue,#191970
CSS Color Module Level 4,mintcream,#f5fffa
CSS Color Module Level 4,mistyrose,#ffe4e1
CSS Color Module Level 4,moccasin,#ffe4b5
CSS Color Module Level 4,navajowhite,#ffdead
CSS Color Module Level 4,oldlace,#fdf5e6
CSS Color Module Level 4,olivedrab,#6b8e23
CSS Color Module Level 4,orangered,#ff4500
CSS Color Module Level 4,orchid,#da70d6
CSS Color Module Level 4,palegoldenrod,#eee8aa
CSS Color Module Level 4,palegreen,#98fb98
CSS Color Module Level 4,paleturquoise,#afeeee
CSS Color Module Level 4,palevioletred,#db7093
CSS Color Module Level 4,papayawhip,#ffefd5
CSS Color Module Level 4,peachpuff,#ffdab9
CSS Color Module Level 4,peru,#cd853f
CSS Color Module Level 4,pink,#ffc0cb
CSS Color Module Level 4,plum,#dda0dd
CSS Color Module Level 4,powderblue,#b0e0e6
CSS Color Module Level 4,rosybrown,#bc8f8f
CSS Color Module Level 4,royalblue,#4169e1
CSS Color Module Level 4,saddlebrown,#8b4513
CSS Color Module Level 4,salmon,#fa8072
CSS Color Module Level 4,sandybrown,#f4a460
CSS Color Module Level 4,seagreen,#2e8b57
CSS Color Module Level 4,seashell,#fff5ee
CSS Color Module Level 4,sienna,#a0522d
CSS Color Module Level 4,skyblue,#87ceeb
CSS Color Module Level 4,slateblue,#6a5acd
CSS Color Module Level 4,slategray,#708090
CSS Color Module Level 4,slategrey,#708090
CSS Color Module Level 4,snow,#fffafa
CSS Color Module Level 4,springgreen,#00ff7f
CSS Color Module Level 4,steelblue,#4682b4
CSS Color Module Level 4,tan,#d2b48c
CSS Color Module Level 4,thistle,#d8bfd8
CSS Color Module Level 4,tomato,#ff6347
CSS Color Module Level 4,turquoise,#40e0d0
CSS Color Module Level 4,violet,#ee82ee
CSS Color Module Level 4,wheat,#f5deb3
CSS Color Module Level 4,whitesmoke,#f5f5f5
CSS Color Module Level 4,yellowgreen,#9acd32
CSS Color Module Level 4,rebeccapurple,#663399
